model_cfg,case_id,num_slices,total_time,avg_time_per_slice,speed_fps
sam2_hiera_t.yaml,1_1,24,0.14843249320983887,0.006184687217076619,161.68966431137974
sam2_hiera_t.yaml,2_1,22,0.03917527198791504,0.0017806941812688654,561.5787430087698
sam2_hiera_t.yaml,5_1,28,0.048102617263793945,0.0017179506165640695,582.088908935006
sam2_hiera_t.yaml,3_1,19,0.03176617622375488,0.0016719040117765729,598.1204620338194
sam2_hiera_t.yaml,5_2,11,0.01866936683654785,0.0016972151669588957,589.2004852819105
sam2_hiera_t.yaml,1_2,14,0.024420738220214844,0.0017443384443010604,573.2832428632796
sam2_hiera_t.yaml,2_2,11,0.01849532127380371,0.0016813928430730646,594.7450080567193
sam2_hiera_t.yaml,3_2,14,0.023581504821777344,0.0016843932015555246,593.6856068265458
sam2_hiera_s.yaml,1_1,24,0.04254341125488281,0.0017726421356201172,564.1296570275723
sam2_hiera_s.yaml,2_1,22,0.037132978439331055,0.0016878626563332298,592.465267388778
sam2_hiera_s.yaml,5_1,28,0.046922922134399414,0.0016758186476571219,596.723279931304
sam2_hiera_s.yaml,3_1,19,0.03219103813171387,0.0016942651648270456,590.2263829535102
sam2_hiera_s.yaml,5_2,11,0.019246578216552734,0.0017496889287775214,571.5301637638431
sam2_hiera_s.yaml,1_2,14,0.02478337287902832,0.0017702409199305943,564.8948619034334
sam2_hiera_s.yaml,2_2,11,0.019047975540161133,0.0017316341400146484,577.4891917940245
sam2_hiera_s.yaml,3_2,14,0.024872303009033203,0.0017765930720738002,562.8750982534845
sam2_hiera_b+.yaml,1_1,24,0.04112744331359863,0.001713643471399943,583.5519562205436
sam2_hiera_b+.yaml,2_1,22,0.037713050842285156,0.0017142295837402344,583.3524339360223
sam2_hiera_b+.yaml,5_1,28,0.047708749771118164,0.0017038839203970773,586.8944404187802
sam2_hiera_b+.yaml,3_1,19,0.03265380859375,0.0017186215049342106,581.8616822429907
sam2_hiera_b+.yaml,5_2,11,0.019327163696289062,0.0017570148814808238,569.147142998125
sam2_hiera_b+.yaml,1_2,14,0.024014711380004883,0.0017153365271432059,582.975984115165
sam2_hiera_b+.yaml,2_2,11,0.01970505714416504,0.001791368831287731,558.232331909642
sam2_hiera_b+.yaml,3_2,14,0.025537729263305664,0.0018241235188075475,548.208490099241
sam2_hiera_l.yaml,1_1,24,0.043024539947509766,0.0017926891644795735,557.8211883097453
sam2_hiera_l.yaml,2_1,22,0.04085230827331543,0.0018569231033325195,538.5252616036464
sam2_hiera_l.yaml,5_1,28,0.04891347885131836,0.0017469099589756557,572.4393491845309
sam2_hiera_l.yaml,3_1,19,0.03221893310546875,0.0016957333213404606,589.7153682216434
sam2_hiera_l.yaml,5_2,11,0.019841670989990234,0.0018037882718172941,554.3887914253443
sam2_hiera_l.yaml,1_2,14,0.02430438995361328,0.0017360278538295201,576.0276240926034
sam2_hiera_l.yaml,2_2,11,0.01930689811706543,0.0017551725560968573,569.7445510564468
sam2_hiera_l.yaml,3_2,14,0.024137496948242188,0.001724106924874442,580.0104306598182
